統計年度,醫院層級,統計對象,加護病房種類,病房數,感染人次數,住院人日數
2015,醫學中心,加護病房,內科ICU,54,"1,932","253,297"
2015,醫學中心,加護病房,外科ICU,63,"2,023","273,299"
2015,醫學中心,加護病房,心臟科ICU,16,381,"63,717"
2015,醫學中心,加護病房,兒科ICU,43,519,"164,507"
2015,醫學中心,加護病房,綜合科ICU,29,519,"74,699"
2015,區域醫院,加護病房,內科ICU,60,"1,183","255,617"
2015,區域醫院,加護病房,外科ICU,46,"1,078","173,423"
2015,區域醫院,加護病房,心臟科ICU,13,149,"40,766"
2015,區域醫院,加護病房,兒科ICU,62,56,"55,687"
2015,區域醫院,加護病房,綜合科ICU,89,"1,809","337,986"
2015,地區醫院,加護病房,>=10床,63,229,"73,996"
2015,地區醫院,加護病房,<10床,49,587,"152,891"
2014,醫學中心,加護病房,內科ICU,50,"1,844","228,969"
2014,醫學中心,加護病房,外科ICU,60,"2,176","258,682"
2014,醫學中心,加護病房,心臟科ICU,14,318,"58,261"
2014,醫學中心,加護病房,兒科ICU,48,535,"151,855"
2014,醫學中心,加護病房,綜合科ICU,27,459,"75,994"
2014,區域醫院,加護病房,內科ICU,58,"1,241","263,411"
2014,區域醫院,加護病房,外科ICU,45,"1,211","175,787"
2014,區域醫院,加護病房,心臟科ICU,13,187,"44,617"
2014,區域醫院,加護病房,兒科ICU,64,68,"51,102"
2014,區域醫院,加護病房,綜合科ICU,93,"1,904","340,967"
2014,地區醫院,加護病房,>=10床,64,218,"67,528"
2014,地區醫院,加護病房,<10床,50,650,"153,255"
2013,醫學中心,加護病房,內科ICU,48,"1,907","211,800"
2013,醫學中心,加護病房,外科ICU,62,"2,296","258,098"
2013,醫學中心,加護病房,心臟科ICU,14,400,"57,455"
2013,醫學中心,加護病房,兒科ICU,41,394,"126,467"
2013,醫學中心,加護病房,綜合科ICU,27,527,"78,787"
2013,區域醫院,加護病房,內科ICU,65,"1,385","283,368"
2013,區域醫院,加護病房,外科ICU,44,"1,163","169,131"
2013,區域醫院,加護病房,心臟科ICU,13,175,"45,895"
2013,區域醫院,加護病房,兒科ICU,61,79,"50,989"
2013,區域醫院,加護病房,綜合科ICU,84,"2,076","338,861"
2013,地區醫院,加護病房,>=10床,48,710,"155,500"
2013,地區醫院,加護病房,<10床,64,191,"68,847"
2012,醫學中心,加護病房,內科ICU,53,"2,268","240,519"
2012,醫學中心,加護病房,外科ICU,65,"2,562","254,707"
2012,醫學中心,加護病房,心臟科ICU,14,485,"59,263"
2012,醫學中心,加護病房,兒科ICU,43,648,"172,328"
2012,醫學中心,加護病房,綜合科ICU,15,579,"64,316"
2012,區域醫院,加護病房,內科ICU,59,"1,514","258,649"
2012,區域醫院,加護病房,外科ICU,46,"1,338","166,485"
2012,區域醫院,加護病房,心臟科ICU,12,150,"35,363"
2012,區域醫院,加護病房,兒科ICU,62,69,"57,734"
2012,區域醫院,加護病房,綜合科ICU,90,"2,689","383,846"
2011,醫學中心,加護病房,內科ICU,51,"2,394","238,338"
2011,醫學中心,加護病房,外科ICU,69,"2,755","270,821"
2011,醫學中心,加護病房,心臟科ICU,14,547,"63,864"
2011,醫學中心,加護病房,兒科ICU,38,502,"148,715"
2011,醫學中心,加護病房,綜合科ICU,16,658,"74,675"
2011,區域醫院,加護病房,內科ICU,65,"1,928","287,181"
2011,區域醫院,加護病房,外科ICU,49,"1,462","177,543"
2011,區域醫院,加護病房,心臟科ICU,12,154,"37,392"
2011,區域醫院,加護病房,兒科ICU,63,71,"56,813"
2011,區域醫院,加護病房,綜合科ICU,88,"2,507","361,507"
2010,醫學中心,加護病房,內科ICU,54,"2,757","248,038"
2010,醫學中心,加護病房,外科ICU,73,"3,046","282,354"
2010,醫學中心,加護病房,心臟科ICU,15,510,"64,806"
2010,醫學中心,加護病房,兒科ICU,44,675,"161,965"
2010,醫學中心,加護病房,綜合科ICU,16,773,"73,017"
2010,區域醫院,加護病房,內科ICU,71,"2,348","320,827"
2010,區域醫院,加護病房,外科ICU,50,"1,650","186,846"
2010,區域醫院,加護病房,心臟科ICU,13,190,"41,095"
2010,區域醫院,加護病房,兒科ICU,63,75,"56,172"
2010,區域醫院,加護病房,綜合科ICU,99,"2,893","382,806"
2009,醫學中心,加護病房,內科ICU,54,"3,518","253,344"
2009,醫學中心,加護病房,外科ICU,73,"3,600","278,724"
2009,醫學中心,加護病房,心臟科ICU,15,668,"65,668"
2009,醫學中心,加護病房,兒科ICU,46,800,"170,120"
2009,醫學中心,加護病房,綜合科ICU,16,773,"62,549"
2009,區域醫院,加護病房,內科ICU,69,"2,481","294,866"
2009,區域醫院,加護病房,外科ICU,47,"1,867","183,063"
2009,區域醫院,加護病房,心臟科ICU,14,237,"36,849"
2009,區域醫院,加護病房,兒科ICU,61,128,"65,593"
2009,區域醫院,加護病房,綜合科ICU,81,"2,924","333,761"
2008,醫學中心,加護病房,內科ICU,50,"3,279","232,393"
2008,醫學中心,加護病房,外科ICU,71,"3,904","267,813"
2008,醫學中心,加護病房,心臟科ICU,16,823,"74,134"
2008,醫學中心,加護病房,兒科ICU,41,838,"166,460"
2008,醫學中心,加護病房,綜合科ICU,19,"1,092","78,756"
2008,區域醫院,加護病房,內科ICU,56,"2,349","247,723"
2008,區域醫院,加護病房,外科ICU,43,"1,982","167,826"
2008,區域醫院,加護病房,心臟科ICU,13,285,"34,732"
2008,區域醫院,加護病房,兒科ICU,53,129,"55,994"
2008,區域醫院,加護病房,綜合科ICU,89,"3,797","391,684"
