確定病名,發病日,縣市,鄉鎮,性別,是否為境外移入,年齡層,死亡病例數,縣市別代碼,鄉鎮別代碼
19CoV,2021-05-07,台北市,萬華區,M,0,55~59,1,63000,63000072
19CoV,2021-05-07,台北市,萬華區,M,0,55~59,1,63000,63000071
19CoV,2021-05-08,台北市,中正區,M,0,65~69,1,63000,63000050
19CoV,2021-05-08,台北市,北投區,M,0,70+,1,63000,63000120
19CoV,2021-05-08,新北市,新莊區,M,0,70+,1,65000,65000050
19CoV,2021-05-08,台北市,松山區,M,0,65~69,1,63000,63000010
19CoV,2021-05-09,新北市,板橋區,M,0,65~69,1,65000,65000010
19CoV,2021-05-10,新北市,中和區,M,0,70+,1,65000,65000030
19CoV,2021-05-10,新北市,五股區,M,0,65~69,1,65000,65000150
19CoV,2021-05-10,高雄市,大寮區,M,0,65~69,1,64000,64000140
19CoV,2021-05-10,新北市,板橋區,M,0,65~69,1,65000,65000010
19CoV,2021-05-10,台北市,萬華區,F,0,60~64,1,63000,63000072
19CoV,2021-05-10,台北市,萬華區,F,0,60~64,1,63000,63000070
19CoV,2021-05-10,台北市,萬華區,F,0,60~64,1,63000,63000071
19CoV,2021-05-11,新北市,三重區,M,0,70+,1,65000,65000020
19CoV,2021-05-11,宜蘭縣,冬山鄉,M,0,70+,1,10002,10002080
19CoV,2021-05-11,台北市,大安區,M,0,60~64,1,63000,63000030
19CoV,2021-05-11,新北市,新店區,M,0,60~64,1,65000,65000060
19CoV,2021-05-11,新北市,板橋區,M,0,70+,1,65000,65000010
19CoV,2021-05-12,新北市,中和區,M,0,70+,2,65000,65000030
19CoV,2021-05-12,台北市,信義區,M,0,55~59,1,63000,63000020
19CoV,2021-05-12,台北市,信義區,M,0,70+,1,63000,63000020
19CoV,2021-05-12,彰化縣,彰化市,M,0,60~64,1,10007,10007010
19CoV,2021-05-12,台北市,文山區,M,0,70+,1,63000,63000080
19CoV,2021-05-12,台北市,文山區,M,0,70+,1,63000,63000081
19CoV,2021-05-12,台北市,文山區,M,0,70+,1,63000,63000082
19CoV,2021-05-12,新北市,板橋區,M,0,65~69,1,65000,65000010
19CoV,2021-05-12,台北市,萬華區,M,0,60~64,1,63000,63000070
19CoV,2021-05-12,台北市,萬華區,M,0,60~64,1,63000,63000072
19CoV,2021-05-12,台北市,萬華區,M,0,60~64,1,63000,63000071
19CoV,2021-05-13,新北市,三重區,M,0,65~69,1,65000,65000020
19CoV,2021-05-13,新北市,三重區,M,0,70+,1,65000,65000020
19CoV,2021-05-13,基隆市,仁愛區,M,0,60~64,1,10017,10017040
19CoV,2021-05-13,台北市,內湖區,M,0,70+,1,63000,63000100
19CoV,2021-05-13,台北市,南港區,M,0,70+,1,63000,63000090
19CoV,2021-05-13,新北市,土城區,M,0,60~64,1,65000,65000130
19CoV,2021-05-13,台北市,大同區,M,0,55~59,1,63000,63000060
19CoV,2021-05-13,台北市,大同區,M,0,65~69,1,63000,63000060
19CoV,2021-05-13,桃園市,大園區,M,0,65~69,1,68000,68000060
19CoV,2021-05-13,新北市,新店區,M,0,55~59,1,65000,65000060
19CoV,2021-05-13,新北市,新店區,M,0,70+,1,65000,65000060
19CoV,2021-05-13,新北市,新莊區,M,0,70+,3,65000,65000050
19CoV,2021-05-13,新北市,板橋區,M,0,65~69,1,65000,65000010
19CoV,2021-05-13,新北市,永和區,M,0,65~69,1,65000,65000040
19CoV,2021-05-13,新北市,汐止區,F,0,65~69,1,65000,65000110
19CoV,2021-05-13,台北市,萬華區,F,0,45~49,1,63000,63000072
19CoV,2021-05-13,台北市,萬華區,F,0,45~49,1,63000,63000071
19CoV,2021-05-13,台北市,萬華區,F,0,45~49,1,63000,63000070
19CoV,2021-05-13,台北市,萬華區,M,0,55~59,2,63000,63000070
19CoV,2021-05-13,台北市,萬華區,M,0,55~59,2,63000,63000071
19CoV,2021-05-13,台北市,萬華區,M,0,55~59,2,63000,63000072
19CoV,2021-05-13,台北市,萬華區,F,0,60~64,1,63000,63000072
19CoV,2021-05-13,台北市,萬華區,F,0,60~64,1,63000,63000071
19CoV,2021-05-13,台北市,萬華區,F,0,60~64,1,63000,63000070
19CoV,2021-05-13,台北市,萬華區,M,0,70+,1,63000,63000070
19CoV,2021-05-13,台北市,萬華區,M,0,70+,1,63000,63000072
19CoV,2021-05-13,台北市,萬華區,M,0,70+,1,63000,63000071
19CoV,2021-05-14,新北市,三重區,M,0,65~69,1,65000,65000020
19CoV,2021-05-14,新北市,三重區,M,0,70+,1,65000,65000020
19CoV,2021-05-14,新北市,中和區,M,0,70+,1,65000,65000030
19CoV,2021-05-14,台北市,南港區,M,0,65~69,1,63000,63000090
19CoV,2021-05-14,新北市,土城區,F,0,70+,2,65000,65000130
19CoV,2021-05-14,新北市,土城區,M,0,70+,2,65000,65000130
19CoV,2021-05-14,台北市,士林區,M,0,60~64,1,63000,63000110
19CoV,2021-05-14,台北市,士林區,M,0,70+,1,63000,63000110
19CoV,2021-05-14,台北市,大同區,F,0,70+,1,63000,63000060
19CoV,2021-05-14,台北市,大同區,M,0,70+,1,63000,63000060
19CoV,2021-05-14,台北市,文山區,F,0,70+,1,63000,63000080
19CoV,2021-05-14,台北市,文山區,F,0,70+,1,63000,63000081
19CoV,2021-05-14,台北市,文山區,F,0,70+,1,63000,63000082
19CoV,2021-05-14,新北市,新店區,M,0,65~69,1,65000,65000060
19CoV,2021-05-14,新北市,新店區,M,0,70+,1,65000,65000060
19CoV,2021-05-14,新北市,新莊區,M,0,60~64,1,65000,65000050
19CoV,2021-05-14,台北市,松山區,M,0,65~69,1,63000,63000010
19CoV,2021-05-14,新北市,板橋區,M,0,60~64,1,65000,65000010
19CoV,2021-05-14,新北市,板橋區,F,0,65~69,1,65000,65000010
19CoV,2021-05-14,新北市,板橋區,M,0,70+,2,65000,65000010
19CoV,2021-05-14,新北市,樹林區,M,0,55~59,1,65000,65000070
19CoV,2021-05-14,新北市,汐止區,F,0,70+,1,65000,65000110
19CoV,2021-05-14,新北市,淡水區,M,0,65~69,1,65000,65000100
19CoV,2021-05-14,新北市,淡水區,F,0,70+,1,65000,65000100
19CoV,2021-05-14,台北市,萬華區,M,0,65~69,1,63000,63000070
19CoV,2021-05-14,台北市,萬華區,M,0,65~69,1,63000,63000071
19CoV,2021-05-14,台北市,萬華區,M,0,65~69,1,63000,63000072
19CoV,2021-05-14,台北市,萬華區,F,0,70+,1,63000,63000072
19CoV,2021-05-14,台北市,萬華區,F,0,70+,1,63000,63000070
19CoV,2021-05-14,台北市,萬華區,F,0,70+,1,63000,63000071
19CoV,2021-05-14,桃園市,龜山區,M,0,70+,1,68000,68000070
19CoV,2021-05-15,新北市,三重區,F,0,60~64,1,65000,65000020
19CoV,2021-05-15,新北市,三重區,F,0,65~69,1,65000,65000020
19CoV,2021-05-15,新北市,三重區,M,0,65~69,2,65000,65000020
19CoV,2021-05-15,新北市,三重區,F,0,70+,1,65000,65000020
19CoV,2021-05-15,新北市,三重區,M,0,70+,2,65000,65000020
19CoV,2021-05-15,台北市,中山區,M,0,55~59,1,63000,63000040
19CoV,2021-05-15,台北市,中山區,M,0,60~64,1,63000,63000040
19CoV,2021-05-15,台北市,中正區,M,0,70+,2,63000,63000050
19CoV,2021-05-15,台北市,北投區,M,0,65~69,1,63000,63000120
19CoV,2021-05-15,台北市,南港區,M,0,70+,1,63000,63000090
19CoV,2021-05-15,新北市,土城區,F,0,70+,2,65000,65000130
19CoV,2021-05-15,台北市,大同區,M,0,70+,1,63000,63000060
19CoV,2021-05-15,台北市,大安區,M,0,70+,1,63000,63000030
19CoV,2021-05-15,台北市,文山區,F,0,60~64,1,63000,63000080
19CoV,2021-05-15,台北市,文山區,F,0,60~64,1,63000,63000081
19CoV,2021-05-15,台北市,文山區,F,0,60~64,1,63000,63000082
19CoV,2021-05-15,台北市,文山區,F,0,65~69,1,63000,63000081
19CoV,2021-05-15,台北市,文山區,F,0,65~69,1,63000,63000080
19CoV,2021-05-15,台北市,文山區,F,0,65~69,1,63000,63000082
19CoV,2021-05-15,新北市,新店區,F,0,60~64,1,65000,65000060
19CoV,2021-05-15,新北市,新莊區,M,0,60~64,1,65000,65000050
19CoV,2021-05-15,新北市,板橋區,M,0,35~39,1,65000,65000010
19CoV,2021-05-15,新北市,板橋區,M,0,55~59,1,65000,65000010
19CoV,2021-05-15,新北市,板橋區,F,0,70+,3,65000,65000010
19CoV,2021-05-15,新北市,板橋區,M,0,70+,3,65000,65000010
19CoV,2021-05-15,新北市,永和區,M,0,70+,2,65000,65000040
19CoV,2021-05-15,新北市,泰山區,M,0,60~64,1,65000,65000160
19CoV,2021-05-15,台北市,萬華區,F,0,65~69,1,63000,63000072
19CoV,2021-05-15,台北市,萬華區,F,0,65~69,1,63000,63000070
19CoV,2021-05-15,台北市,萬華區,F,0,65~69,1,63000,63000071
19CoV,2021-05-15,台北市,萬華區,M,0,65~69,1,63000,63000070
19CoV,2021-05-15,台北市,萬華區,M,0,65~69,1,63000,63000072
19CoV,2021-05-15,台北市,萬華區,M,0,65~69,1,63000,63000071
19CoV,2021-05-15,台北市,萬華區,M,0,70+,3,63000,63000070
19CoV,2021-05-15,台北市,萬華區,M,0,70+,3,63000,63000072
19CoV,2021-05-15,台北市,萬華區,M,0,70+,3,63000,63000071
19CoV,2021-05-15,新北市,蘆洲區,M,0,65~69,1,65000,65000140
19CoV,2021-05-16,新北市,三重區,F,0,60~64,1,65000,65000020
19CoV,2021-05-16,新北市,三重區,M,0,60~64,1,65000,65000020
19CoV,2021-05-16,新北市,三重區,F,0,65~69,1,65000,65000020
19CoV,2021-05-16,新北市,三重區,F,0,70+,1,65000,65000020
19CoV,2021-05-16,新北市,中和區,F,0,40~44,1,65000,65000030
19CoV,2021-05-16,新北市,中和區,M,0,70+,3,65000,65000030
19CoV,2021-05-16,新北市,五股區,M,0,65~69,1,65000,65000150
19CoV,2021-05-16,台北市,信義區,M,0,55~59,1,63000,63000020
19CoV,2021-05-16,新北市,土城區,M,0,70+,1,65000,65000130
19CoV,2021-05-16,台北市,大同區,M,0,70+,1,63000,63000060
19CoV,2021-05-16,台北市,大安區,M,0,70+,1,63000,63000030
19CoV,2021-05-16,新北市,新店區,M,0,70+,1,65000,65000060
19CoV,2021-05-16,新北市,板橋區,M,0,65~69,1,65000,65000010
19CoV,2021-05-16,新北市,板橋區,F,0,70+,2,65000,65000010
19CoV,2021-05-16,新北市,板橋區,M,0,70+,1,65000,65000010
19CoV,2021-05-16,新北市,林口區,M,0,65~69,1,65000,65000170
19CoV,2021-05-16,新北市,永和區,M,0,70+,4,65000,65000040
19CoV,2021-05-16,台北市,萬華區,M,0,35~39,1,63000,63000072
19CoV,2021-05-16,台北市,萬華區,M,0,35~39,1,63000,63000070
19CoV,2021-05-16,台北市,萬華區,M,0,35~39,1,63000,63000071
19CoV,2021-05-16,台北市,萬華區,F,0,65~69,1,63000,63000071
19CoV,2021-05-16,台北市,萬華區,F,0,65~69,1,63000,63000070
19CoV,2021-05-16,台北市,萬華區,F,0,65~69,1,63000,63000072
19CoV,2021-05-16,台北市,萬華區,M,0,70+,3,63000,63000072
19CoV,2021-05-16,台北市,萬華區,M,0,70+,3,63000,63000071
19CoV,2021-05-16,台北市,萬華區,M,0,70+,3,63000,63000070
19CoV,2021-05-17,新北市,三重區,M,0,70+,1,65000,65000020
19CoV,2021-05-17,新北市,中和區,M,0,70+,1,65000,65000030
19CoV,2021-05-17,台北市,中正區,M,0,65~69,1,63000,63000050
19CoV,2021-05-17,台北市,中正區,M,0,70+,1,63000,63000050
19CoV,2021-05-17,台北市,信義區,M,0,65~69,1,63000,63000020
19CoV,2021-05-17,台北市,北投區,F,0,70+,1,63000,63000120
19CoV,2021-05-17,台北市,士林區,M,0,70+,1,63000,63000110
19CoV,2021-05-17,台北市,大同區,F,0,65~69,1,63000,63000060
19CoV,2021-05-17,台北市,大安區,M,0,65~69,1,63000,63000030
19CoV,2021-05-17,台北市,大安區,M,0,70+,1,63000,63000030
19CoV,2021-05-17,桃園市,平鎮區,M,0,70+,1,68000,68000100
19CoV,2021-05-17,基隆市,暖暖區,M,0,70+,1,10017,10017030
19CoV,2021-05-17,台北市,松山區,F,0,70+,1,63000,63000010
19CoV,2021-05-17,新北市,板橋區,F,0,55~59,1,65000,65000010
19CoV,2021-05-17,新北市,板橋區,M,0,70+,1,65000,65000010
19CoV,2021-05-17,桃園市,楊梅區,M,0,70+,1,68000,68000040
19CoV,2021-05-17,新北市,樹林區,F,0,60~64,1,65000,65000070
19CoV,2021-05-17,新北市,永和區,M,0,65~69,1,65000,65000040
19CoV,2021-05-17,彰化縣,永靖鄉,M,0,70+,1,10007,10007160
19CoV,2021-05-17,新北市,汐止區,M,0,70+,1,65000,65000110
19CoV,2021-05-17,新北市,淡水區,M,0,70+,1,65000,65000100
19CoV,2021-05-17,彰化縣,溪湖鎮,F,0,70+,1,10007,10007110
19CoV,2021-05-17,新北市,瑞芳區,M,0,65~69,1,65000,65000120
19CoV,2021-05-17,台北市,萬華區,F,0,70+,1,63000,63000071
19CoV,2021-05-17,台北市,萬華區,F,0,70+,1,63000,63000070
19CoV,2021-05-17,台北市,萬華區,F,0,70+,1,63000,63000072
19CoV,2021-05-17,台北市,萬華區,M,0,70+,2,63000,63000071
19CoV,2021-05-17,台北市,萬華區,M,0,70+,2,63000,63000070
19CoV,2021-05-17,台北市,萬華區,M,0,70+,2,63000,63000072
19CoV,2021-05-17,新北市,蘆洲區,M,0,65~69,1,65000,65000140
19CoV,2021-05-17,桃園市,龜山區,M,0,50~54,1,68000,68000070
19CoV,2021-05-18,新北市,三峽區,M,0,70+,1,65000,65000090
19CoV,2021-05-18,新北市,三重區,M,0,50~54,1,65000,65000020
19CoV,2021-05-18,新北市,三重區,M,0,55~59,1,65000,65000020
19CoV,2021-05-18,新北市,三重區,M,0,70+,2,65000,65000020
19CoV,2021-05-18,新北市,中和區,M,0,50~54,1,65000,65000030
19CoV,2021-05-18,新北市,中和區,M,0,60~64,1,65000,65000030
19CoV,2021-05-18,新北市,中和區,M,0,70+,1,65000,65000030
19CoV,2021-05-18,台北市,內湖區,M,0,65~69,1,63000,63000100
19CoV,2021-05-18,台北市,北投區,F,0,40~44,1,63000,63000120
19CoV,2021-05-18,新北市,土城區,F,0,70+,1,65000,65000130
19CoV,2021-05-18,台北市,士林區,M,0,70+,1,63000,63000110
19CoV,2021-05-18,台北市,大同區,M,0,60~64,1,63000,63000060
19CoV,2021-05-18,台北市,大同區,F,0,70+,1,63000,63000060
19CoV,2021-05-18,台北市,文山區,M,0,50~54,2,63000,63000082
19CoV,2021-05-18,台北市,文山區,M,0,50~54,2,63000,63000080
19CoV,2021-05-18,台北市,文山區,M,0,50~54,2,63000,63000081
19CoV,2021-05-18,台北市,文山區,M,0,70+,1,63000,63000081
19CoV,2021-05-18,台北市,文山區,M,0,70+,1,63000,63000080
19CoV,2021-05-18,台北市,文山區,M,0,70+,1,63000,63000082
19CoV,2021-05-18,新北市,新店區,M,0,35~39,1,65000,65000060
19CoV,2021-05-18,新北市,新莊區,F,0,60~64,1,65000,65000050
19CoV,2021-05-18,新北市,新莊區,M,0,70+,1,65000,65000050
19CoV,2021-05-18,新北市,板橋區,F,0,70+,2,65000,65000010
19CoV,2021-05-18,新北市,汐止區,M,0,70+,1,65000,65000110
19CoV,2021-05-18,台北市,萬華區,M,0,55~59,2,63000,63000070
19CoV,2021-05-18,台北市,萬華區,M,0,55~59,2,63000,63000071
19CoV,2021-05-18,台北市,萬華區,M,0,55~59,2,63000,63000072
19CoV,2021-05-18,台北市,萬華區,F,0,60~64,1,63000,63000072
19CoV,2021-05-18,台北市,萬華區,F,0,60~64,1,63000,63000071
19CoV,2021-05-18,台北市,萬華區,F,0,60~64,1,63000,63000070
19CoV,2021-05-18,台北市,萬華區,M,0,60~64,1,63000,63000071
19CoV,2021-05-18,台北市,萬華區,M,0,60~64,1,63000,63000070
19CoV,2021-05-18,台北市,萬華區,M,0,60~64,1,63000,63000072
19CoV,2021-05-18,台北市,萬華區,M,0,65~69,3,63000,63000071
19CoV,2021-05-18,台北市,萬華區,M,0,65~69,3,63000,63000070
19CoV,2021-05-18,台北市,萬華區,M,0,65~69,3,63000,63000072
19CoV,2021-05-18,台北市,萬華區,F,0,70+,2,63000,63000071
19CoV,2021-05-18,台北市,萬華區,F,0,70+,2,63000,63000070
19CoV,2021-05-18,台北市,萬華區,F,0,70+,2,63000,63000072
19CoV,2021-05-18,台北市,萬華區,M,0,70+,3,63000,63000072
19CoV,2021-05-18,台北市,萬華區,M,0,70+,3,63000,63000070
19CoV,2021-05-18,台北市,萬華區,M,0,70+,3,63000,63000071
19CoV,2021-05-18,新北市,蘆洲區,M,0,60~64,1,65000,65000140
19CoV,2021-05-19,新北市,三重區,M,0,70+,1,65000,65000020
19CoV,2021-05-19,新北市,中和區,F,0,60~64,1,65000,65000030
19CoV,2021-05-19,新北市,中和區,F,0,65~69,1,65000,65000030
19CoV,2021-05-19,基隆市,中山區,M,0,70+,1,10017,10017050
19CoV,2021-05-19,新北市,五股區,M,0,60~64,1,65000,65000150
19CoV,2021-05-19,台北市,信義區,M,0,65~69,1,63000,63000020
19CoV,2021-05-19,台北市,信義區,F,0,70+,1,63000,63000020
19CoV,2021-05-19,台北市,信義區,M,0,70+,1,63000,63000020
19CoV,2021-05-19,台北市,北投區,M,0,70+,1,63000,63000120
19CoV,2021-05-19,台北市,南港區,M,0,70+,1,63000,63000090
19CoV,2021-05-19,新北市,土城區,M,0,70+,1,65000,65000130
19CoV,2021-05-19,台北市,大同區,M,0,70+,1,63000,63000060
19CoV,2021-05-19,台北市,文山區,F,0,45~49,1,63000,63000082
19CoV,2021-05-19,台北市,文山區,F,0,45~49,1,63000,63000081
19CoV,2021-05-19,台北市,文山區,F,0,45~49,1,63000,63000080
19CoV,2021-05-19,台北市,文山區,F,0,70+,1,63000,63000082
19CoV,2021-05-19,台北市,文山區,F,0,70+,1,63000,63000080
19CoV,2021-05-19,台北市,文山區,F,0,70+,1,63000,63000081
19CoV,2021-05-19,台北市,文山區,M,0,70+,1,63000,63000081
19CoV,2021-05-19,台北市,文山區,M,0,70+,1,63000,63000080
19CoV,2021-05-19,台北市,文山區,M,0,70+,1,63000,63000082
19CoV,2021-05-19,新北市,新店區,M,0,70+,1,65000,65000060
19CoV,2021-05-19,新北市,新莊區,M,0,65~69,1,65000,65000050
19CoV,2021-05-19,新北市,新莊區,M,0,70+,1,65000,65000050
19CoV,2021-05-19,新北市,板橋區,F,0,70+,3,65000,65000010
19CoV,2021-05-19,新北市,板橋區,M,0,70+,1,65000,65000010
19CoV,2021-05-19,新北市,永和區,M,0,60~64,1,65000,65000040
19CoV,2021-05-19,新北市,永和區,M,0,70+,1,65000,65000040
19CoV,2021-05-19,花蓮縣,花蓮市,M,0,70+,1,10015,10015010
19CoV,2021-05-19,台北市,萬華區,M,0,50~54,1,63000,63000072
19CoV,2021-05-19,台北市,萬華區,M,0,50~54,1,63000,63000070
19CoV,2021-05-19,台北市,萬華區,M,0,50~54,1,63000,63000071
19CoV,2021-05-19,台北市,萬華區,F,0,55~59,2,63000,63000071
19CoV,2021-05-19,台北市,萬華區,F,0,55~59,2,63000,63000070
19CoV,2021-05-19,台北市,萬華區,F,0,55~59,2,63000,63000072
19CoV,2021-05-19,台北市,萬華區,F,0,60~64,1,63000,63000070
19CoV,2021-05-19,台北市,萬華區,F,0,60~64,1,63000,63000071
19CoV,2021-05-19,台北市,萬華區,F,0,60~64,1,63000,63000072
19CoV,2021-05-19,台北市,萬華區,F,0,70+,1,63000,63000071
19CoV,2021-05-19,台北市,萬華區,F,0,70+,1,63000,63000070
19CoV,2021-05-19,台北市,萬華區,F,0,70+,1,63000,63000072
19CoV,2021-05-19,台北市,萬華區,M,0,70+,1,63000,63000072
19CoV,2021-05-19,台北市,萬華區,M,0,70+,1,63000,63000071
19CoV,2021-05-19,台北市,萬華區,M,0,70+,1,63000,63000070
19CoV,2021-05-19,新北市,蘆洲區,F,0,70+,1,65000,65000140
19CoV,2021-05-20,新北市,三峽區,F,0,70+,1,65000,65000090
19CoV,2021-05-20,新北市,三重區,M,0,55~59,1,65000,65000020
19CoV,2021-05-20,新北市,三重區,M,0,65~69,1,65000,65000020
19CoV,2021-05-20,新北市,中和區,M,0,60~64,1,65000,65000030
19CoV,2021-05-20,新北市,中和區,M,0,65~69,2,65000,65000030
19CoV,2021-05-20,新北市,中和區,M,0,70+,2,65000,65000030
19CoV,2021-05-20,新北市,五股區,M,0,60~64,1,65000,65000150
19CoV,2021-05-20,基隆市,仁愛區,M,0,70+,1,10017,10017040
19CoV,2021-05-20,新北市,土城區,M,0,65~69,1,65000,65000130
19CoV,2021-05-20,台北市,士林區,F,0,70+,1,63000,63000110
19CoV,2021-05-20,台北市,文山區,M,0,60~64,1,63000,63000080
19CoV,2021-05-20,台北市,文山區,M,0,60~64,1,63000,63000081
19CoV,2021-05-20,台北市,文山區,M,0,60~64,1,63000,63000082
19CoV,2021-05-20,台北市,文山區,F,0,65~69,1,63000,63000080
19CoV,2021-05-20,台北市,文山區,F,0,65~69,1,63000,63000082
19CoV,2021-05-20,台北市,文山區,F,0,65~69,1,63000,63000081
19CoV,2021-05-20,新北市,新莊區,M,0,60~64,1,65000,65000050
19CoV,2021-05-20,新北市,新莊區,M,0,70+,1,65000,65000050
19CoV,2021-05-20,新北市,板橋區,M,0,65~69,1,65000,65000010
19CoV,2021-05-20,新北市,板橋區,F,0,70+,1,65000,65000010
19CoV,2021-05-20,新北市,永和區,F,0,40~44,1,65000,65000040
19CoV,2021-05-20,新北市,泰山區,M,0,65~69,1,65000,65000160
19CoV,2021-05-20,新北市,深坑區,M,0,70+,2,65000,65000180
19CoV,2021-05-20,台北市,萬華區,F,0,65~69,1,63000,63000070
19CoV,2021-05-20,台北市,萬華區,F,0,65~69,1,63000,63000071
19CoV,2021-05-20,台北市,萬華區,F,0,65~69,1,63000,63000072
19CoV,2021-05-20,台北市,萬華區,M,0,65~69,1,63000,63000072
19CoV,2021-05-20,台北市,萬華區,M,0,65~69,1,63000,63000070
19CoV,2021-05-20,台北市,萬華區,M,0,65~69,1,63000,63000071
19CoV,2021-05-20,台北市,萬華區,F,0,70+,2,63000,63000070
19CoV,2021-05-20,台北市,萬華區,F,0,70+,2,63000,63000072
19CoV,2021-05-20,台北市,萬華區,F,0,70+,2,63000,63000071
19CoV,2021-05-20,台北市,萬華區,M,0,70+,4,63000,63000071
19CoV,2021-05-20,台北市,萬華區,M,0,70+,4,63000,63000072
19CoV,2021-05-20,台北市,萬華區,M,0,70+,4,63000,63000070
19CoV,2021-05-20,新北市,蘆洲區,F,0,70+,1,65000,65000140
19CoV,2021-05-20,桃園市,龜山區,F,0,70+,1,68000,68000070
19CoV,2021-05-21,新北市,三重區,M,0,55~59,1,65000,65000020
19CoV,2021-05-21,新北市,中和區,F,0,70+,2,65000,65000030
19CoV,2021-05-21,台北市,中山區,M,0,70+,1,63000,63000040
19CoV,2021-05-21,台北市,中正區,F,0,65~69,1,63000,63000050
19CoV,2021-05-21,台北市,中正區,M,0,65~69,1,63000,63000050
19CoV,2021-05-21,台北市,中正區,M,0,70+,1,63000,63000050
19CoV,2021-05-21,新北市,五股區,M,0,70+,1,65000,65000150
19CoV,2021-05-21,基隆市,仁愛區,M,0,70+,1,10017,10017040
19CoV,2021-05-21,台北市,北投區,M,0,70+,1,63000,63000120
19CoV,2021-05-21,台北市,南港區,F,0,70+,1,63000,63000090
19CoV,2021-05-21,新北市,土城區,F,0,70+,1,65000,65000130
19CoV,2021-05-21,台北市,士林區,M,0,70+,1,63000,63000110
19CoV,2021-05-21,台北市,大同區,M,0,55~59,1,63000,63000060
19CoV,2021-05-21,台北市,大同區,F,0,65~69,1,63000,63000060
19CoV,2021-05-21,台北市,大同區,F,0,70+,1,63000,63000060
19CoV,2021-05-21,台北市,大同區,M,0,70+,1,63000,63000060
19CoV,2021-05-21,台北市,文山區,M,0,65~69,1,63000,63000080
19CoV,2021-05-21,台北市,文山區,M,0,65~69,1,63000,63000082
19CoV,2021-05-21,台北市,文山區,M,0,65~69,1,63000,63000081
19CoV,2021-05-21,台北市,文山區,M,0,70+,1,63000,63000080
19CoV,2021-05-21,台北市,文山區,M,0,70+,1,63000,63000081
19CoV,2021-05-21,台北市,文山區,M,0,70+,1,63000,63000082
19CoV,2021-05-21,新北市,新店區,M,0,65~69,1,65000,65000060
19CoV,2021-05-21,新北市,新店區,M,0,70+,1,65000,65000060
19CoV,2021-05-21,新北市,板橋區,M,0,60~64,1,65000,65000010
19CoV,2021-05-21,新北市,板橋區,F,0,65~69,1,65000,65000010
19CoV,2021-05-21,新北市,板橋區,M,0,65~69,1,65000,65000010
19CoV,2021-05-21,新北市,板橋區,M,0,70+,1,65000,65000010
19CoV,2021-05-21,新北市,林口區,M,0,60~64,1,65000,65000170
19CoV,2021-05-21,桃園市,桃園區,M,0,70+,1,68000,68000010
19CoV,2021-05-21,新北市,永和區,F,0,50~54,1,65000,65000040
19CoV,2021-05-21,新北市,永和區,M,0,65~69,2,65000,65000040
19CoV,2021-05-21,新北市,永和區,F,0,70+,1,65000,65000040
19CoV,2021-05-21,新北市,汐止區,M,0,60~64,1,65000,65000110
19CoV,2021-05-21,新北市,深坑區,M,0,65~69,1,65000,65000180
19CoV,2021-05-21,台北市,萬華區,M,0,65~69,2,63000,63000070
19CoV,2021-05-21,台北市,萬華區,M,0,65~69,2,63000,63000072
19CoV,2021-05-21,台北市,萬華區,M,0,65~69,2,63000,63000071
19CoV,2021-05-21,台北市,萬華區,F,0,70+,1,63000,63000070
