受補（捐）助單位,核准日期,累計撥付金額,補（捐）助事項或用途,縣市代碼
國立彰化師範大學,1070205,10000,補助民間團體及大專院校辦理愛滋病防治工作計畫,10007
國立臺中科技大學,1070205,10000,補助民間團體及大專院校辦理愛滋病防治工作計畫,66000
國立臺灣大學醫學院附設醫院金山分院,1070222,40000,107年愛滋病指定醫院品質提升計畫-補助系統界接費用,65000
國立臺灣大學醫學院附設醫院雲林分院,1070222,40000,107年愛滋病指定醫院品質提升計畫-補助系統界接費用,10009
國軍高雄總醫院左營分院附設民眾診療服務處,1070222,40000,107年愛滋病指定醫院品質提升計畫-補助系統界接費用,64000
連江縣立醫院,1070410,340000,有關107年傳染病防治醫療網應變醫院病房維護費補（捐）助費用,09007
臺中榮民總醫院,1070118,80000,107年度補助醫院辦理漢生病個案確診及治療計畫,66000
臺中榮民總醫院,1070221,80000,107年愛滋病指定醫院品質提升計畫-補助系統界接費用,66000
臺中榮民總醫院埔里分院,1070221,80000,107年愛滋病指定醫院品質提升計畫-補助系統界接費用,10008
臺中榮民總醫院嘉義分院,1070222,80000,107年愛滋病指定醫院品質提升計畫-補助系統界接費用,10020
臺北市立聯合醫院,107222,40000,107年愛滋病指定醫院品質提升計畫-補助系統界接費用,63000
臺北市立聯合醫院,1070201,390400,107年抗生素抗藥性管理通報系統補捐助案補捐助經費,63000
臺北市立聯合醫院和平院區,1070410,3500000,有關107年傳染病防治醫療網應變醫院病房維護費補（捐）助費用,63000
臺北市立聯合醫院松德院區,1070109,372560,愛滋防治替代治療補助計畫-Suboxone藥品補助,63000
臺北榮民總醫院,1070222,40000,107年愛滋病指定醫院品質提升計畫-補助系統界接費用,63000
衛生福利部花蓮醫院,1070410,1575000,有關107年傳染病防治醫療網應變醫院病房維護費補（捐）助費用,10015
衛生福利部金門醫院,1070222,40000,107年愛滋病指定醫院品質提升計畫-補助系統界接費用,09020
衛生福利部金門醫院,1070410,465000,有關107年傳染病防治醫療網應變醫院病房維護費補（捐）助費用,09020
衛生福利部南投醫院,1070221,40000,107年愛滋病指定醫院品質提升計畫-補助系統界接費用,10008
衛生福利部南投醫院,1070101,32164,107年腸病毒醫療品質提升方案,10008
衛生福利部屏東醫院,1070222,40000,107年愛滋病指定醫院品質提升計畫-補助系統界接費用,10013
衛生福利部屏東醫院,1070410,2337000,有關107年傳染病防治醫療網應變醫院病房維護費補（捐）助費用,10013
衛生福利部桃園醫院,1070214,40000,107年愛滋病指定醫院品質提升計畫-補助系統界接費用,68000
衛生福利部桃園醫院,1070418,40000,107年愛滋病毒篩檢與暴露愛滋病毒前預防性投藥(PrEP)計畫-業務費及系統介接補助費,68000
衛生福利部桃園醫院,1070201,390400,107年抗生素抗藥性管理通報系統補捐助案補捐助經費,68000
衛生福利部桃園醫院新屋分院,1070214,40000,107年愛滋病指定醫院品質提升計畫-補助系統界接費用,68000
衛生福利部桃園醫院新屋分院,1070410,2420000,有關107年傳染病防治醫療網應變醫院病房維護費補（捐）助費用,68000
衛生福利部嘉南療養院,1070109,43120,愛滋防治替代治療補助計畫-Suboxone藥品補助,67000
衛生福利部彰化醫院,1070221,40000,107年愛滋病指定醫院品質提升計畫-補助系統界接費用,10007
衛生福利部臺中醫院,1070221,40000,107年愛滋病指定醫院品質提升計畫-補助系統界接費用,66000
衛生福利部臺中醫院,1070410,2365000,有關107年傳染病防治醫療網應變醫院病房維護費補（捐）助費用,66000
衛生福利部臺南醫院,1070410,2420000,有關107年傳染病防治醫療網應變醫院病房維護費補（捐）助費用,67000
衛生福利部澎湖醫院,107222,40000,107年愛滋病指定醫院品質提升計畫-補助系統界接費用,10016
衛生福利部豐原醫院,1070221,40000,107年愛滋病指定醫院品質提升計畫-補助系統界接費用,66000
中山醫學大學附設醫院,1070221,80000,107年愛滋病指定醫院品質提升計畫-補助系統界接費用,66000
中國醫藥大學兒童醫院,1070101,39000,107年腸病毒醫療品質提升方案,66000
中國醫藥大學附設醫院,1070221,80000,107年愛滋病指定醫院品質提升計畫-補助系統界接費用,66000
中國醫藥大學附設醫院,1070312,700000,107年補(捐)助支援合作醫院相關行政費,66000
天主教中華聖母修女會醫療財團法人天主教聖馬爾定醫院,1070101,156160,107年抗生素抗藥性管理通報系統補捐助案補捐助經費,10020
天主教若瑟醫療財團法人若瑟醫院,1070222,80000,107年愛滋病指定醫院品質提升計畫-補助系統界接費用,10009
天主教若瑟醫療財團法人若瑟醫院,1070302,14940,107年腸病毒醫療品質提升方案,10009
台灣基督長老教會馬偕醫療財團法人台東馬偕紀念醫院,1070214,40000,107年愛滋病指定醫院品質提升計畫-補助系統界接費用,10014
台灣基督長老教會馬偕醫療財團法人馬偕紀念醫院,1070118,50000,107年度補助醫院辦理漢生病個案確診及治療計畫,63000
台灣基督長老教會馬偕醫療財團法人馬偕紀念醫院,1070222,40000,107年愛滋病指定醫院品質提升計畫-補助系統界接費用,63000
台灣基督長老教會馬偕醫療財團法人淡水馬偕紀念醫院,1070222,40000,107年愛滋病指定醫院品質提升計畫-補助系統界接費用,63000
台灣基督長老教會馬偕醫療財團法人新竹馬偕紀念醫院,1070214,40000,107年愛滋病指定醫院品質提升計畫-補助系統界接費用,10018
佛教慈濟醫療財團法人大林慈濟醫院,1070222,80000,107年愛滋病指定醫院品質提升計畫-補助系統界接費用,10010
佛教慈濟醫療財團法人大林慈濟醫院,1070101,27000,107年腸病毒醫療品質提升方案,10010
佛教慈濟醫療財團法人台中慈濟醫院,1070221,40000,107年愛滋病指定醫院品質提升計畫-補助系統界接費用,66000
佛教慈濟醫療財團法人台北慈濟醫院,1070222,40000,107年愛滋病指定醫院品質提升計畫-補助系統界接費用,65000
佛教慈濟醫療財團法人花蓮慈濟醫院,1070214,40000,107年愛滋病指定醫院品質提升計畫-補助系統界接費用,10015
佛教慈濟醫療財團法人花蓮慈濟醫院,1070312,700000,107年補(捐)助支援合作醫院相關行政費,10015
佛教慈濟醫療財團法人花蓮慈濟醫院,1070101,156160,107年抗生素抗藥性管理通報系統補捐助案補捐助經費,10015
秀傳醫療財團法人彰濱秀傳紀念醫院,1070221,40000,107年愛滋病指定醫院品質提升計畫-補助系統界接費用,10007
奇美醫療財團法人奇美醫院,1070222,80000,107年愛滋病指定醫院品質提升計畫-補助系統界接費用,67000
長庚醫療財團法人台北長庚紀念醫院,1070222,80000,107年愛滋病指定醫院品質提升計畫-補助系統界接費用,63000
長庚醫療財團法人林口長庚紀念醫院,1070214,80000,107年愛滋病指定醫院品質提升計畫-補助系統界接費用,68000
長庚醫療財團法人林口長庚紀念醫院,1070312,700000,107年補(捐)助支援合作醫院相關行政費,68000
長庚醫療財團法人高雄長庚紀念醫院,1070222,80000,107年愛滋病指定醫院品質提升計畫-補助系統界接費用,64000
長庚醫療財團法人基隆長庚紀念醫院,1070222,80000,107年愛滋病指定醫院品質提升計畫-補助系統界接費用,10017
長庚醫療財團法人雲林長庚紀念醫院,1070222,40000,107年愛滋病指定醫院品質提升計畫-補助系統界接費用,10009
長庚醫療財團法人嘉義長庚紀念醫院,1070214,40000,107年抗生素抗藥性管理通報系統補捐助案補捐助經費,10010
長庚醫療財團法人嘉義長庚紀念醫院,1070101,156160,107年抗生素抗藥性管理通報系統補捐助案補捐助經費,10010
屏基醫療財團法人屏東基督教醫院,1070222,80000,107年愛滋病指定醫院品質提升計畫-補助系統界接費用,10013
屏基醫療財團法人屏東基督教醫院,1070101,21875,107年腸病毒醫療品質提升方案,10013
財團法人為恭紀念醫院,1070214,80000,107年愛滋病指定醫院品質提升計畫-補助系統界接費用,10005
財團法人為恭紀念醫院,1070101,16433,107年腸病毒醫療品質提升方案,10005
財團法人為恭紀念醫院,1070101,390400,107年抗生素抗藥性管理通報系統補捐助案補捐助經費,10005
財團法人天主教靈醫會羅東聖母醫院,1070222,40000,107年愛滋病指定醫院品質提升計畫-補助系統界接費用,10002
財團法人天主教靈醫會羅東聖母醫院,1070418,26000,107年愛滋病毒篩檢與暴露愛滋病毒前預防性投藥(PrEP)計畫-業務費及系統介接補助費,10002
財團法人台灣紅絲帶基金會,1070205,960000,補助民間團體及大專院校辦理愛滋病防治工作計畫,63000
財團法人台灣關愛基金會,1070205,1440000,補助民間團體及大專院校辦理愛滋病防治工作計畫,63000
財團法人私立高雄醫學大學附設中和紀念醫院,1070222,80000,107年愛滋病指定醫院品質提升計畫-補助系統界接費用,64000
財團法人私立高雄醫學大學附設中和紀念醫院,1070308,700000,107年補(捐)助支援合作醫院相關行政費,64000
財團法人肝病防治學術基金會,1070529,100000,107年度補（捐）助民間團體辦理病毒性肝炎防治衛生教育,63000
財團法人兒童肝膽疾病防治基金會,1070529,100000,107年度補（捐）助民間團體辦理病毒性肝炎防治衛生教育,63000
國泰醫療財團法人國泰綜合醫院,1070222,40000,107年愛滋病指定醫院品質提升計畫-補助系統界接費用,63000
新光醫療財團法人新光吳火獅紀念醫院,1070222,3000,107年愛滋病指定醫院品質提升計畫-補助系統界接費用,63000
義大醫療財團法人義大醫院,1070222,40000,107年愛滋病指定醫院品質提升計畫-補助系統界接費用,64000
義大醫療財團法人義大醫院,1070101,156160,107年抗生素抗藥性管理通報系統補捐助案補捐助經費,64000
彰化基督教醫療財團法人員林基督教醫院,1070221,80000,107年愛滋病指定醫院品質提升計畫-補助系統界接費用,10007
彰化基督教醫療財團法人彰化基督教兒童醫院,1070101,33640,107年腸病毒醫療品質提升方案,10007
彰化基督教醫療財團法人彰化基督教醫院,1070221,80000,107年愛滋病指定醫院品質提升計畫-補助系統界接費用,10007
臺北醫學大學附設醫院,1070222,40000,107年愛滋病指定醫院品質提升計畫-補助系統界接費用,63000
臺灣基督教門諾會醫療財團法人門諾醫院,1070214,40000,107年愛滋病指定醫院品質提升計畫-補助系統界接費用,10015
臺灣基督教門諾會醫療財團法人門諾醫院,1070101,19551,107年腸病毒醫療品質提升方案,10015
戴德森醫療財團法人嘉義基督教醫院,1070222,80000,107年愛滋病指定醫院品質提升計畫-補助系統界接費用,10020
戴德森醫療財團法人嘉義基督教醫院,1070101,18980,107年腸病毒醫療品質提升方案,10020
醫療財團法人羅許基金會羅東博愛醫院,1070222,80000,107年愛滋病指定醫院品質提升計畫-補助系統界接費用,10002
醫療財團法人羅許基金會羅東博愛醫院,1070101,390400,107年抗生素抗藥性管理通報系統補捐助案補捐助經費,10002
振興醫療財團法人振興醫院,1070101,156160,107年抗生素抗藥性管理通報系統補捐助案補捐助經費,63000
中華民國台灣女童軍總會,1070205,60000,補助民間團體及大專院校辦理愛滋病防治工作計畫,63000
中華民國學校衛生護理學會,1070101,697200,107年結核病防治教育訓練計畫-校園結核病防治教育訓練,10020
中華民國醫師公會全國聯合會,1070430,96000,重要蟲媒傳染病與李斯特菌症介紹及防治教育訓練,63000
中華身心健康促進暨研究協會,1070205,50000,補助民間團體及大專院校辦理愛滋病防治工作計畫,68000
世界和平婦女會台灣總會,1070205,80000,補助民間團體及大專院校辦理愛滋病防治工作計畫,63000
台灣年輕藥師協會,1070205,200000,補助民間團體及大專院校辦理愛滋病防治工作計畫,63000
台灣結核暨肺部疾病醫學會,1070101,1085000,107年結核病防治教育訓練計畫-結核病個案管理師教育訓練及認證,63000
台灣結核暨肺部疾病醫學會,1070101,665000,107年結核病防治教育訓練計畫-醫師結核病防治教育訓練,63000
台灣愛滋病學會,1070205,960000,補助民間團體及大專院校辦理愛滋病防治工作計畫,63000
光田醫療社團法人光田綜合醫院,1070221,80000,107年愛滋病指定醫院品質提升計畫-補助系統界接費用,66000
光田醫療社團法人光田綜合醫院,1070101,37957,107年腸病毒醫療品質提升方案,66000
光田醫療社團法人光田綜合醫院,1070101,390400,107年抗生素抗藥性管理通報系統補捐助案補捐助經費,66000
光田醫療社團法人光田綜合醫院大甲分院,1070101,37880,107年腸病毒醫療品質提升方案,66000
安泰醫療社團法人安泰醫院,1070222,40000,107年愛滋病指定醫院品質提升計畫-補助系統界接費用,10013
秀傳醫療社團法人秀傳紀念醫院,1070221,80000,107年愛滋病指定醫院品質提升計畫-補助系統界接費用,10007
秀傳醫療社團法人秀傳紀念醫院,1070101,390400,107年抗生素抗藥性管理通報系統補捐助案補捐助經費,10007
東元綜合醫院,1070214,40000,107年愛滋病指定醫院品質提升計畫-補助系統界接費用,10004
東元綜合醫院,1070418,40000,107年愛滋病毒篩檢與暴露愛滋病毒前預防性投藥(PrEP)計畫-業務費及系統介接補助費,10004
林新醫療社團法人林新醫院,1070221,40000,107年愛滋病指定醫院品質提升計畫-補助系統界接費用,66000
社團法人中華民國台灣懷愛協會,1070205,100000,補助民間團體及大專院校辦理愛滋病防治工作計畫,66000
社團法人中華民國愛滋感染者權益促進會,1070205,200000,補助民間團體及大專院校辦理愛滋病防治工作計畫,63000
社團法人中華民國醫務社會工作協會,1070205,100000,補助民間團體及大專院校辦理愛滋病防治工作計畫,63000
社團法人台北市日日春關懷互助協會,1070205,200000,補助民間團體及大專院校辦理愛滋病防治工作計畫,63000
社團法人台灣世界快樂聯盟,1070205,80000,補助民間團體及大專院校辦理愛滋病防治工作計畫,10013
社團法人台灣兒童感染症醫學會,1070101,244186,「腸病毒D68型疾病診斷及臨床處置」教育訓練案,
社團法人台灣愛之希望協會,1070205,680000,補助民間團體及大專院校辦理愛滋病防治工作計畫,64000
社團法人台灣愛滋病護理學會,1070205,520000,補助民間團體及大專院校辦理愛滋病防治工作計畫,63000
社團法人台灣新滋識同盟,1070205,120000,補助民間團體及大專院校辦理愛滋病防治工作計畫,65000
社團法人台灣預防醫學學會,1070205,855000,補助民間團體及大專院校辦理愛滋病防治工作計畫,63000
社團法人台灣露德協會,1070205,1160000,補助民間團體及大專院校辦理愛滋病防治工作計畫,63000
社團法人臺灣兒科醫學會,1070108,300000,「腸病毒及兒童重要急性傳染病防治」醫護人員教育訓練案,
社團法人臺灣兒科醫學會,1070205,200000,補助民間團體及大專院校辦理愛滋病防治工作計畫,63000
高雄市立大同醫院(委託財團法人私立高雄醫學大學附設中和紀念醫院經營),1070222,80000,107年愛滋病指定醫院品質提升計畫-補助系統界接費用,64000
高雄市立大同醫院(委託財團法人私立高雄醫學大學附設中和紀念醫院經營),1070101,390400,107年抗生素抗藥性管理通報系統補捐助案補捐助經費,64000
高雄市立小港醫院(委託財團法人私立高雄醫學大學經營),1070222,80000,107年愛滋病指定醫院品質提升計畫-補助系統界接費用,64000
高雄市立小港醫院(委託財團法人私立高雄醫學大學經營),1070418,40000,107年愛滋病毒篩檢與暴露愛滋病毒前預防性投藥(PrEP)計畫-業務費及系統介接補助費,64000
高雄市立小港醫院(委託財團法人私立高雄醫學大學經營),1070101,13890,107年腸病毒醫療品質提升方案,64000
童綜合醫療社團法人童綜合醫院,1070221,80000,107年愛滋病指定醫院品質提升計畫-補助系統界接費用,66000
童綜合醫療社團法人童綜合醫院,1070302,20330,107年腸病毒醫療品質提升方案,66000
臺北市立萬芳醫院－委託財團法人臺北醫學大學辦理,1070222,80000,107年愛滋病指定醫院品質提升計畫-補助系統界接費用,63000
臺南市立安南醫院-委託中國醫藥大學興建經營,1070222,40000,107年愛滋病指定醫院品質提升計畫-補助系統界接費用,67000
澄清綜合醫院中港分院,1070221,40000,107年愛滋病指定醫院品質提升計畫-補助系統界接費用,66000
澄清綜合醫院中港分院,1070101,25000,107年腸病毒醫療品質提升方案,66000
澄清綜合醫院中港分院,1070101,390400,107年抗生素抗藥性管理通報系統補捐助案補捐助經費,66000
衛生福利部雙和醫院(委託臺北醫學大學興建經營),1070222,80000,107年愛滋病指定醫院品質提升計畫-補助系統界接費用,65000
亞東技術學院,10725,10000,107年度補助民間團體及大專院校辦理愛滋病防治工作計畫,65000
景文科技大學,10725,10000,107年度補助民間團體及大專院校辦理愛滋病防治工作計畫,65000
聖約翰科技大學,10725,10000,107年度補助民間團體及大專院校辦理愛滋病防治工作計畫,65000
光宇學校財團法人元培醫事科技大學,10725,10000,107年度補助民間團體及大專院校辦理愛滋病防治工作計畫,10018
中臺科技大學,10725,10000,107年度補助民間團體及大專院校辦理愛滋病防治工作計畫,66000
中華醫事科技大學,10725,10000,107年度補助民間團體及大專院校辦理愛滋病防治工作計畫,67000
輔英科技大學,10725,10000,107年度補助民間團體及大專院校辦理愛滋病防治工作計畫,64000
逢甲大學,10725,30000,107年度補助民間團體及大專院校辦理愛滋病防治工作計畫,66000
弘光科技大學,10725,30000,107年度補助民間團體及大專院校辦理愛滋病防治工作計畫,66000
正修學校財團法人正修科技大學,10725,30000,107年度補助民間團體及大專院校辦理愛滋病防治工作計畫,64000
個人,1070410,313000,「107年專案進口抗結核藥兒童複方可溶錠(RH、RHZ)及Capreomycin」採購案,
個人,1070214,972404,105年愛滋醫療費用欠款利息,
個人,1070320,24400,107年TB藥物Amikacin採購1000支,
個人,1070101,3048000,107年抗結核藥品Bedaquiline採購案,
個人,1070308,2548200,107年度兩種抗結核公費藥品採購案,
個人,1070110,400000,107年度抗結核免費藥品Levofloxacin 750mg採購案,
個人,1070124,1097500,107年度抗結核免費藥品moxifloxacin採購案,
個人,1070510,74700,"107年度採購Levofloxacin500mg 1,5000錠",
個人,1070101,1354210000,107年度愛滋醫療費用償還105年欠款,
個人,1070119,174045000,107年建構抗藥性結核病醫療照護體系計畫,
個人,1070110,1421000,107年專案進口抗結核免費藥品Clofazimine採購案,
個人,1070110,1440000,107年專案進口抗結核免費藥品Kanamycin採購案,
個人,1070202,3690000,107年專案進口抗結核免費藥品terizidone,
個人,1070119,4276800,107年專案進口抗結核藥品Delamanid採購案,
個人,1070521,1524000,107年第二次抗結核藥品Bedaquiline採購,
個人,1070105,352224000,107年結核病及漢生病直接觀察治療都治執行計畫,
個人,1070214,3953345,107年愛滋病指定醫院服務品質提升計畫,
個人,1070214,498650,107年愛滋病指定醫院服務品質提升計畫,
個人,1070221,15595150,107年愛滋病指定醫院服務品質提升計畫,
個人,1070221,5497970,107年愛滋病指定醫院服務品質提升計畫,
個人,1070221,3787585,107年愛滋病指定醫院服務品質提升計畫,
個人,1070221,4793323,107年愛滋病指定醫院服務品質提升計畫,
個人,1070101,519790,107年愛滋病毒篩檢與暴露愛滋病毒前預防性投藥(PrEP)計畫,
個人,1070206,145800,107年慢性傳染性肺結核病個案住院營養暨生活費,
個人,1070212,177617000,代辦公務預算支付結核病病等醫療費用,
個人,1070116,49500000,孕婦全面愛滋篩檢,
個人,1070101,749389,因執行業務意外暴露感染源之預防性投藥費用,
個人,1070116,25000000,性病或藥癮病患愛滋篩檢,
個人,1070516,566,配合防疫執行麻疹病例接觸者之暴露後預防所衍生之相關成本如診察費、掛號費或IMIG等費用案,
個人,1070209,44000000,107年愛滋防治替代治療計畫之醫療費用,
個人,1070130,1620,補助藥害血友愛滋個案全民健保保費,
個人,1070306,140683,106年度退休金優惠存款差額利息歸墊,
個人,1070112,526000,107年致贈退休人員及在職亡故同仁之遺族春節慰問金,
個人,1070111,658000,退職工友（含遺眷）107年春節慰問金,
個人,1070508,120000,登革熱通報獎金,
個人,1070226,84000,107年三麻一風監視調查作業之通報獎金,
