確定病名,發病年份,發病週別,縣市,鄉鎮,性別,是否為境外移入,年齡層,確定病例數
麻疹,2019,21,新北市,新店區,M,否,20-24,1
麻疹,2019,21,新北市,林口區,M,是,30-34,1
麻疹,2019,22,台北市,士林區,M,是,25-29,1
麻疹,2019,22,屏東縣,林邊鄉,M,是,30-34,1
麻疹,2019,23,南投縣,名間鄉,F,是,1,1
麻疹,2019,25,台中市,清水區,M,否,0,1
麻疹,2019,25,新北市,樹林區,M,是,40-44,1
麻疹,2019,26,基隆市,仁愛區,M,是,25-29,1
麻疹,2019,27,台北市,南港區,F,是,30-34,1
麻疹,2019,27,台中市,后里區,F,是,30-34,1
麻疹,2019,29,台中市,北屯區,M,是,25-29,1
麻疹,2019,30,台北市,信義區,M,是,25-29,2
麻疹,2019,30,台北市,松山區,M,是,30-34,1
麻疹,2019,30,台中市,豐原區,F,是,1,1
麻疹,2019,30,桃園市,中壢區,M,否,25-29,1
麻疹,2019,30,桃園市,觀音區,M,是,25-29,1
麻疹,2019,32,台北市,信義區,M,否,25-29,1
麻疹,2019,32,台北市,大安區,F,否,20-24,1
麻疹,2019,32,台北市,大安區,M,否,30-34,1
麻疹,2019,32,台北市,松山區,M,否,30-34,1
麻疹,2019,32,新北市,板橋區,M,是,35-39,1
麻疹,2019,32,彰化縣,彰化市,M,是,25-29,1
麻疹,2019,33,台北市,大安區,F,否,25-29,1
麻疹,2019,33,台中市,石岡區,M,否,3,1
麻疹,2019,33,新北市,三重區,F,否,20-24,1
麻疹,2019,33,新北市,汐止區,M,否,40-44,1
麻疹,2019,35,台北市,內湖區,M,否,30-34,1
麻疹,2019,35,新北市,土城區,F,否,25-29,1
麻疹,2019,35,南投縣,國姓鄉,M,否,35-39,1
麻疹,2019,36,高雄市,三民區,M,是,20-24,1
麻疹,2019,36,新北市,新店區,M,是,35-39,1
麻疹,2019,38,台北市,信義區,F,是,35-39,1
麻疹,2019,40,台北市,信義區,M,是,30-34,1
麻疹,2019,40,高雄市,三民區,M,是,30-34,1
麻疹,2019,41,高雄市,湖內區,M,否,30-34,1
麻疹,2019,41,高雄市,鳳山區,M,否,25-29,1
麻疹,2019,43,台東縣,台東市,M,是,50-54,1
麻疹,2019,47,新北市,新店區,F,是,35-39,1
麻疹,2019,49,台北市,大安區,F,否,25-29,1
麻疹,2019,49,新北市,新店區,F,否,30-34,1
麻疹,2019,50,台北市,士林區,F,是,25-29,1
麻疹,2019,50,新竹縣,竹東鎮,M,是,40-44,1
麻疹,2019,51,新竹市,東區,F,是,35-39,1
麻疹,2020,1,新北市,三重區,F,是,25-29,1
麻疹,2020,1,彰化縣,彰化市,F,是,0,1
麻疹,2022,32,新北市,新莊區,F,否,20-24,1
麻疹,2023,14,台北市,中正區,M,是,30-34,1
麻疹,2023,28,台中市,北屯區,M,是,35-39,1
麻疹,2024,7,台北市,大同區,M,是,20-24,1
麻疹,2024,7,新北市,中和區,M,否,35-39,1
麻疹,2024,8,新北市,中和區,M,否,30-34,1
麻疹,2024,9,新北市,中和區,F,否,25-29,1
麻疹,2024,9,新北市,中和區,M,否,35-39,1
麻疹,2024,9,新北市,永和區,M,是,30-34,1
麻疹,2024,9,新北市,永和區,M,否,40-44,1
麻疹,2024,10,新竹縣,竹東鎮,F,是,30-34,1
麻疹,2024,10,花蓮縣,吉安鄉,F,是,25-29,1
麻疹,2024,12,新竹縣,竹東鎮,M,是,25-29,1
麻疹,2024,14,高雄市,小港區,M,是,20-24,1
